BPUIC;y_Koord_Ost;x_Koord_Nord
8577045;2715071;1091136
8502246;2681490;1224610
8587376;2681510;1221880
8591161;2681510;1251988
8506852;2715098;1254346
8577887;2582958;1176975
8501789;2582962;1104830
8594278;2582973;1221127
8580115;2715099;1087420
8575253;2715104;1087256
8580238;2715116;1087628
8583557;2715125;1276832
8578607;2715136;1253937
8595974;2715193;1092862
8502258;2681520;1217077
8578608;2715195;1253709
8575757;2715203;1105910
8575266;2715223;1091796
8578621;2715225;1258094
8505257;2715225;1145970
8578850;2715065;1156838
8588622;2681520;1225340
8594212;2715249;1095600
8503999;2715112;1235902
8575278;2715280;1094100
8575328;2715286;1102375
8573337;2715287;1277072
8581646;2715316;1092061
8570878;2593697;1117682
8506599;2755787;1256888
8573841;2715335;1225772
8531411;2582983;1107922
8583086;2582983;1104794
8571234;2582991;1212801
8583440;2582996;1201592
8501762;2583007;1101703
8504877;2583013;1184904
8593367;2583015;1219580
8530105;2583020;1107898
8530917;2583023;1107935
8577868;2583059;1182382
8583863;2583114;1104606
8577759;2583115;1160819
8591483;2715353;1086125
8575746;2715235;1108319
8578595;2715354;1252305
8573855;2715354;1232124
8573338;2715374;1277295
8578830;2715374;1145526
8594970;2715380;1150260
8572746;2755824;1190222
8504283;2583232;1176711
8577875;2583234;1178608
8579391;2583240;1116911
8594276;2583248;1221176
8500936;2583271;1104339
8572029;2583274;1240160
8580039;2715438;1092366
8570553;2583415;1192677
8579507;2583324;1110635
8571952;2583335;1232615
8592456;2583350;1220012
8582704;2583359;1216787
8570684;2583382;1102588
8531410;2583395;1108921
8570682;2583423;1105152
8570552;2583440;1191605
8594856;2583441;1198877
8557013;2583443;1105041
8594217;2715441;1095423
8588920;2614331;1211677
8578640;2641011;1128912
8572809;2641482;1225279
8587522;2652710;1178046
8506851;2715441;1254411
8591628;2715444;1093447
8575409;2715455;1101660
8503995;2715460;1235824
8505968;2715463;1102615
8508379;2640061;1173535
8579347;2652737;1138143
8579363;2652913;1137950
8587606;2707518;1173073
8573934;2732879;1258658
8573410;2732945;1278058
8500012;2611219;1269713
8503495;2689636;1283709
8509866;2732950;1150875
8500348;2732980;1146900
8573422;2732989;1271165
