Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
AAGB;Aarau GB;AAGB;Aarau GB;650;40.309;Killwangen West - Lenzburg - Daniken Ost;SBB CFF;2647397.625;1249489.859;1249489.86115,2647397.63059;8502136;2136;Aarau GB;http://lod.opentransportdata.swiss/didok/8502136
ABOS;Aarburg-Oftringen Sud (Abzw);ABO;Aarburg-Oftringen;500;44.0;Basel SBB - Olten - Luzern;SBB CFF;2636164.469;1240407.291;1240407.29115,2636164.47058;8502013;2013;Aarburg-Oftringen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8502013
AESP;Aespli;AESP;Aespli;455;92.76586;Unterhard BE - Aespli;SBB CFF;2606453.566;1208598.853;1208598.85115,2606453.57057;8515299;15299;Aespli;http://lod.opentransportdata.swiss/didok/8515299
ALME;Al Motto Est;ALM;Al Motto (c bin);600;160.82823;Immensee - Bellinzona - Chiasso;SBB CFF;2716710.005;1111402.033;1111402.03108,2716710.00069;8515373;15373;Al Motto Est;http://lod.opentransportdata.swiss/didok/8515373
ALSA;Al Sasso;ALSA;Al Sasso;600;160.0138;Immensee - Bellinzona - Chiasso;SBB CFF;2717375.235;1111705.581;1111705.58108,2717375.23069;8515374;15374;Al Sasso;http://lod.opentransportdata.swiss/didok/8515374
AN;Andelfingen;AN;Andelfingen;762;39.16548;Winterthur Nord - Schaffhausen RB Ost;SBB CFF;2693215.688;1272188.772;1272188.77115,2693215.69062;8506047;6047;Andelfingen;http://lod.opentransportdata.swiss/didok/8506047
ASZO;Amsteg Zugangsstollen Ost;ASZO;Amsteg Zugangsstollen Ost;5001;1.99255;Amsteg Zugangsstollen;SBB CFF;2696138.463;1181131.877;1181131.88111,2696138.46065;8518489;18489;Amsteg Zugangsstollen Ost;http://lod.opentransportdata.swiss/didok/8518489
AX;Arnex;AX;Arnex;200;27.56496;Renens VD Ouest - Vallorbe;SBB CFF;2529656.353;1172287.207;1172287.21115,2529656.35051;8501107;1107;Arnex;http://lod.opentransportdata.swiss/didok/8501107
BAAL;Baar Lindenpark;BAAL;Baar Lindenpark;660;28.158;Thalwil - Zug - Fluhmuhle;SBB CFF;2681739.129;1226359.37;1226359.37113,2681739.13062;8515993;15993;Baar Lindenpark;http://lod.opentransportdata.swiss/didok/8515993
BAAN;Baar Neufeld;BAAN;Baar Neufeld;660;27.56;Thalwil - Zug - Fluhmuhle;SBB CFF;2681785.685;1226955.555;1226955.55113,2681785.68062;8515992;15992;Baar Neufeld;http://lod.opentransportdata.swiss/didok/8515992
BACH;Bachtele (Trimstein);BACH;Bachtele (Trimstein);460;15.30001;Gumligen Sud - Fluhmuhle;SBB CFF;2610527.014;1194229.592;1194229.59114,2610527.01057;8516278;16278;Bachtele (Trimstein);http://lod.opentransportdata.swiss/didok/8516278
BALW;Baltenswil (Abzw);BALW;Baltenswil (Abzw);9784;16.297;Bassersdorf - Baltenswil (Abzw);SBB CFF;2690955.3675;1254153.102;1254227.81114,2690915.04062;8519645;19645;Baltenswil (Abzw);http://lod.opentransportdata.swiss/didok/8519645
BASM;Balerna per Smistamento (bif);BAL;Balerna;600;203.05052;Immensee - Bellinzona - Chiasso;SBB CFF;2721290.915;1078708.43;1078708.43106,2721290.9107;8505347;5347;Balerna per Smistamento (bif);http://lod.opentransportdata.swiss/didok/8505347
BAV;Bavois;BAV;Bavois;210;24.87822;Daillens - Biel/Bienne;SBB CFF;2532735.272;1171095.884;1171095.88115,2532735.27051;8501113;1113;Bavois;http://lod.opentransportdata.swiss/didok/8501113
BAZZ;Bazenheid ZAB (Agl);BAZZ;Bazenheid ZAB (Agl);853;5.89806;Wil Sud - Wattwil - Uznach;SBB CFF;2723307.507;1253281.987;1253281.99112,2723307.51065;8506223;6223;Bazenheid ZAB (Agl);http://lod.opentransportdata.swiss/didok/8506223
BERG;Berg;BERG;Berg;831;27.23197;Weinfelden - Tagermoos;SBB CFF;2730583.321;1271616.716;1271616.72113,2730583.32065;8506194;6194;Berg;http://lod.opentransportdata.swiss/didok/8506194
BET;Bettlach;BET;Bettlach;410;82.92457;Olten - Solothurn - Biel/Bienne;SBB CFF;2599222.87;1227111.559;1227111.56116,2599222.87055;8500203;203;Bettlach;http://lod.opentransportdata.swiss/didok/8500203
BEX;Bex;BEX;Bex;127;0.0;Bex - Villars;SBB CFF;2566224.453;1122320.503;1122320.50111,2566224.45055;8501402;1402;Bex;http://lod.opentransportdata.swiss/didok/8501402
BFG;Bifang AG (Spw);RTR;Rothrist;451;44.86;Aarburg-Oftringen - Rothrist Gleis 1;SBB CFF;2634573.761;1240099.749;1240099.75116,2634573.76058;8516022;16022;Bifang AG (Spw);http://lod.opentransportdata.swiss/didok/8516022
BGG;Brugg BE;BGG;Brugg BE;260;30.51331;Zollikofen Nord - Biel/Bienne Aebistr.;SBB CFF;2587828.09;1219196.183;1219196.18116,2587828.09055;8504416;4416;Brügg BE;http://lod.opentransportdata.swiss/didok/8504416
BGL;Burglen;BGL;Burglen;840;63.28042;Winterthur Nord - Romanshorn;SBB CFF;2728809.637;1267890.749;1267890.75113,2728809.64065;8506106;6106;Bürglen;http://lod.opentransportdata.swiss/didok/8506106
BGN;Brugg AG Nord (Abzw);BGN;Brugg AG Nord (Abzw);700;32.46007;Brugg - Pratteln Ost;SBB CFF;2657219.801;1259253.855;1259253.86115,2657219.80059;8500341;341;Brugg AG Nord (Abzw);http://lod.opentransportdata.swiss/didok/8500341
BI;Biel/Bienne;BI;Biel/Bienne;410;99.3685;Olten - Solothurn - Biel/Bienne;SBB CFF;2585151.205;1220231.592;1220231.59116,2585151.20054;8504300;4300;Biel/Bienne;http://lod.opentransportdata.swiss/didok/8504300
BIM;Biel Mett;BIM;Biel Mett;410;96.25;Olten - Solothurn - Biel/Bienne;SBB CFF;2587397.928;1221541.296;1221541.30116,2587397.93055;8504419;4419;Biel Mett;http://lod.opentransportdata.swiss/didok/8504419
BIRI;Birmensdorf Industrie;BIRI;Birmensdorf Industrie;711;11.7655;ZH Hardbrucke - Kollermuhle;SBB CFF;2675011.903;1246406.862;1246406.86114,2675011.90061;8502243;2243;Birmensdorf Industrie;http://lod.opentransportdata.swiss/didok/8502243
BIRW;Biel/Bienne RB West;BIRB;Biel/Bienne RB;266;33.43695;Madretsch - Biel/Bienne RB West;SBB CFF;2586524.892;1220870.722;1220870.72116,2586524.89054;8504341;4341;Biel/Bienne RB West;http://lod.opentransportdata.swiss/didok/8504341
BIW;Biel/Bienne West;BI;Biel/Bienne;225;34.11887;Biel/Bienne West - La Chaux-de-Fonds;SBB CFF;2584880.757;1220326.534;1220326.53116,2584880.76054;8515308;15308;Biel/Bienne West;http://lod.opentransportdata.swiss/didok/8515308
BLGK;Baldegg Kloster;BLGK;Baldegg Kloster;651;15.362;Hubeli - Beinwil - Lenzburg;SBB CFF;2663820.469;1225859.873;1225859.87114,2663820.47061;8516353;16353;Baldegg Kloster;http://lod.opentransportdata.swiss/didok/8516353
BMA;Bauma;BMA;Bauma;742;25.26275;Hinwil - Baretswil - Bauma;SBB CFF;2708732.707;1247441.069;1247441.07113,2708732.71064;8503134;3134;Bauma;http://lod.opentransportdata.swiss/didok/8503134
BNG;Bussnang;BNG;Bussnang;830;16.35061;Wil - Weinfelden;SBB CFF;2723847.689;1268561.474;1268561.47113,2723847.69064;8506190;6190;Bussnang;http://lod.opentransportdata.swiss/didok/8506190
BNHB;Bern Henkerbrunnli;BN;Bern;220;-0.40001;Bern - Neuchatel Est (bif);SBB CFF;2600016.523;1200271.186;1200271.19114,2600016.52056;8516765;16765;Bern Henkerbrünnli;http://lod.opentransportdata.swiss/didok/8516765
BNK;Benken SG;BNK;Benken SG;735;43.40673;Ziegelbrucke West - Rapperswil Ost;SBB CFF;2718947.79;1229358.18;1229358.18113,2718947.79065;8503118;3118;Benken SG;http://lod.opentransportdata.swiss/didok/8503118
BNWK;Bern Wankdorf (Gl. 301 + 401);BNWD;Bern Wankdorf;290;108.97;Bern Wylerfeld - Thun;SBB CFF;2602068.352;1201763.849;1201763.85115,2602068.35056;8516766;16766;Bern Wankdorf (Gl 301 + 401);http://lod.opentransportdata.swiss/didok/8516766
BOBO;Bossy Bois (embr);CS;Corcelles-Sud;253;29.987;Payerne Est - Fribourg Nord;SBB CFF;2563515.463;1186466.156;1186466.16115,2563515.46053;8504039;4039;Bossy Bois (embr);http://lod.opentransportdata.swiss/didok/8504039
BON;Bonstetten-Wettswil;BON;Bonstetten-Wettswil;711;18.05825;ZH Hardbrucke - Kollermuhle;SBB CFF;2677827.677;1242180.589;1242180.59114,2677827.68062;8502222;2222;Bonstetten-Wettswil;http://lod.opentransportdata.swiss/didok/8502222
BONI;Boniswil;BONI;Boniswil;651;32.85;Hubeli - Beinwil - Lenzburg;SBB CFF;2656399.187;1240730.426;1240730.43114,2656399.1906;8502032;2032;Boniswil;http://lod.opentransportdata.swiss/didok/8502032
BOSS;Bossiere;BOSS;Bossiere;250;5.7756;Lausanne Est - Bern;SBB CFF;2543256.866;1151206.173;1151206.17113,2543256.87052;8504003;4003;Bossière;http://lod.opentransportdata.swiss/didok/8504003
BOT;Bottighofen;BOT;Bottighofen;824;97.51655;Romanshorn - Konstanz;SBB CFF;2733337.72;1278179.914;1278179.91114,2733337.72065;8506127;6127;Bottighofen;http://lod.opentransportdata.swiss/didok/8506127
