"BPUIC";"Station";"Position";"Num_delays";"Num_stops";"percent_on_time"
8506000;"Winterthur";"47.5003337739,8.72382110762";8;596;98,6577181208054
8503016;"Zürich Flughafen";"47.4503856566,8.56240184756";6;457;98,6870897155361
8501026;"Genève-Aéroport";"46.232538562,6.11198562378";3;174;98,2758620689655
8504201;"Grandson";"46.8062833566,6.6419437669";1;85;98,8235294117647
8504206;"Bevaix";"46.9296962618,6.81168022806";4;38;89,4736842105263
8504221;"Neuchâtel";"46.9967268195,6.93570168072";13;278;95,3237410071942
8504220;"Neuchâtel-Serrières";"46.9839623251,6.903362631";1;38;97,3684210526316
8504203;"Concise";"46.8508815711,6.72315746125";1;8;87,5
8504209;"Colombier";"46.9676523894,6.84886971704";6;38;84,2105263157895
8504205;"Gorgier-St-Aubin";"46.8990761279,6.78102595265";2;38;94,7368421052632
8504219;"Auvernier";"46.9796416958,6.87770803075";1;38;97,3684210526316
8501120;"Lausanne";"46.5167918174,6.62909229044";9;548;98,3576642335766
8504208;"Boudry";"46.9594571322,6.83504762348";6;38;84,2105263157895
8500010;"Basel SBB";"47.547412091,7.58956277697";18;671;97,3174366616989
8507000;"Bern";"46.9488322725,7.4391309556";28;338;91,7159763313609
8504100;"Fribourg/Freiburg";"46.8031481543,7.15104693583";8;204;96,078431372549
8500135;"Pontenet";"47.238848361,7.25415931061";2;60;96,6666666666667
8500100;"Tavannes";"47.2198446424,7.20164542931";5;60;91,6666666666667
8500104;"Court";"47.2406009157,7.34210993055";6;43;86,046511627907
8503000;"Zürich HB";"47.3781766923,8.54021233623";51;1952;97,3872950819672
8500101;"Reconvilier";"47.235238324,7.22741795179";2;60;96,6666666666667
8500102;"Malleray-Bévilard";"47.2387141829,7.27594629294";2;60;96,6666666666667
8500103;"Sorvilier";"47.2392467034,7.30577406733";2;43;95,3488372093023
8504304;"Sonceboz-Sombeval";"47.1951483393,7.16876361824";8;161;95,0310559006211
8500105;"Moutier";"47.2806724995,7.38104432272";6;153;96,078431372549
8504300;"Biel/Bienne";"47.1328978528,7.24291053739";19;356;94,6629213483146
8504303;"La Heutte";"47.1894917627,7.22539576798";19;40;52,5
